"mes";"año_2017";"año_2018";"año_2019";"año_2020";"año_2021";"año_2022";"año_2023";"año_2024";"año_2025";"año_2026"
"Total";"895";"1193";"1505";"1743";"2339";"2657";"2218";"2750";"1780";"186"
"Enero";"183";"168";"125";"125";"79";"176";"253";"113";"113";"124"
"Febrero";"71";"134";"119";"83";"58";"133";"122";"340";"90";"48"
"Marzo";"17";"75";"58";"177";"74";"33";"95";"380";"28";"14"
"Abril";"2";"23";"20";"75";"19";"54";"22";"183";"14";""
"Mayo";"4";"5";"10";"92";"17";"51";"19";"48";"18";""
"Junio";"15";"32";"73";"100";"29";"133";"36";"69";"125";""
"Julio";"31";"93";"162";"242";"375";"409";"118";"317";"129";""
"Agosto";"155";"280";"388";"286";"780";"464";"464";"541";"325";""
"Septiembre";"109";"194";"206";"191";"403";"496";"360";"467";"359";""
"Octubre";"103";"84";"130";"143";"316";"288";"448";"154";"266";""
"Noviembre";"121";"13";"78";"130";"78";"194";"180";"43";"212";""
"Diciembre";"84";"92";"136";"99";"111";"226";"101";"94";"101";""
