"jurisdicción";"hectáreas_2017";"hectáreas_2018";"hectáreas_2019";"hectáreas_2020";"hectáreas_2021";"hectáreas_2022";"hectáreas_2023";"hectáreas_2024";"hectáreas_2025";"hectáreas_2026"
"Total";"1696570";"1110065.23";"479896.23";"984157";"322717";"797222";"501221";"306456";"466722";"52989.1"
"Buenos Aires";"52324";"55036";"24714";"4643";"7033";"142";"4523";"525";"14579";"s/d"
"CABA";"s/d";"s/d";"s/d";"1";"s/d";"s/d";"49";"s/d";"s/d";"s/d"
"Catamarca";"17385";"7261";"12035";"30612";"11177";"13816";"9417";"5489";"5084";"169.15"
"Chaco";"3470";"3896";"3039";"27882";"2687";"12189";"1718";"s/d";"52";"s/d"
"Chubut";"2566";"939";"13289";"6293";"17959";"80294";"18854";"10920";"88439";"32761.4"
"Córdoba";"34010";"8745";"16602";"153595";"57026";"4246";"24454";"87091";"9298";"s/d"
"Corrientes";"1443";"21608";"2464";"45374";"8897";"88631";"42881";"21351";"32973";"124.5"
"Entre Ríos";"s/d";"673";"43";"12768";"26192";"3186";"4796";"442";"1639";"2260"
"Formosa";"5362";"3119";"14336";"30317";"18009";"8207";"30595";"15391";"4450";"700"
"Jujuy";"1214";"474";"6019";"37805";"6043";"18728";"1757";"2125";"7321";"0.2"
"La Pampa";"552902";"704125";"154177";"42329";"29738";"119718";"64366";"9041";"169791";"11295.54"
"La Rioja";"131535";"1514";"2071";"2397";"21138";"36904";"10438";"24336";"7692";"s/d"
"Mendoza";"419147";"75393";"65022";"33345";"19006";"45038";"108598";"11287";"49245";"3880"
"Misiones";"246";"323";"1049";"2200";"1213";"16050";"42";"107";"1732";"265"
"Neuquén";"5197";"2328";"21614";"25878";"5823";"126";"31";"3141";"22435";"810.95"
"Río Negro";"347344";"94804";"99601";"44540";"29635";"30680";"30355";"17172";"10428";"2.77"
"Salta";"7062";"1093";"2254";"71870";"4601";"125112";"7012";"11252";"12901";"s/d"
"San Juan";"20056";"16425";"667";"s/d";"s/d";"1321";"4204";"1088";"721";"9"
"San Luis";"86842";"100712";"32278";"57199";"49314";"120556";"129186";"70686";"13550";"s/d"
"Santa Cruz";"472";"4482";"3845";"302";"2263";"3220";"205";"2";"1347";"704"
"Santa Fe";"s/d";"749";"116";"315640";"103";"44138";"136";"s/d";"s/d";"s/d"
"Santiago del Estero";"7109";"105";"3980";"28978";"1619";"7283";"4232";"42";"375";"s/d"
"Tierra del Fuego";"s/d";"s/d";"189";"1";"9";"8200";"23";"62";"3";"s/d"
"Tucumán";"886";"6262";"494";"10190";"3233";"9437";"3349";"14909";"12667";"6.59"
